iter	RMSE
0	283.3989531
1	271.1551752
2	256.8950278
3	246.1765177
4	234.1696273
5	223.2350863
6	213.6239858
7	204.2747293
8	196.4020716
9	188.9530244
10	182.1778958
11	176.4847877
12	170.8280255
13	165.4037705
14	160.8168703
15	156.5032967
16	153.1423905
17	149.4525992
18	146.0559728
19	143.288203
20	139.6755781
21	136.5299662
22	133.2820675
23	131.3191836
24	130.3820275
25	127.3212855
26	125.0606001
27	122.6378025
28	120.9002652
29	119.4714235
30	117.6830103
31	116.2507173
32	113.7906517
33	112.7379026
34	111.4634955
35	111.0088507
36	109.747211
37	107.9364254
38	106.3351362
39	104.9845947
40	103.5914466
41	102.1224342
42	101.1293697
43	100.028014
44	98.96534049
45	98.42266786
46	97.33864932
47	96.42693819
48	95.93005729
49	95.13171582
50	94.29216888
51	93.54658825
52	93.244488
53	91.46156327
54	90.87743144
55	90.25312135
56	88.62598552
57	88.20026376
58	87.53494834
59	86.06826228
60	85.76689222
61	85.38320743
62	85.00943624
63	84.74404278
64	83.7542461
65	83.2280239
66	82.90383684
67	82.15014643
68	81.75064647
69	81.45772554
70	81.13823336
71	80.53822012
72	80.14510389
73	79.79982051
74	79.56379519
75	78.62775264
76	78.40402869
77	77.06465354
78	76.76184114
79	76.48094129
80	76.19947685
81	75.41236154
82	74.60033246
83	74.18598642
84	73.27054345
85	72.58486435
86	72.35305349
87	71.35856046
88	70.97041372
89	70.77570027
90	70.05960857
91	69.25731403
92	69.0749853
93	68.31447503
94	67.63973009
95	67.46385945
96	67.30113312
97	66.78897893
98	66.32105785
99	65.88339826
