iter	Passed	Remaining
0	1	116
1	1	94
2	2	90
3	3	92
4	5	95
5	6	94
6	7	96
7	8	95
8	9	93
9	10	93
10	11	91
11	12	91
12	13	89
13	14	88
14	15	87
15	16	85
16	17	84
17	18	84
18	19	82
19	20	82
20	21	82
21	22	81
22	24	81
23	25	81
24	26	80
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	74
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	42	65
39	43	64
40	44	64
41	45	63
42	46	62
43	48	61
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	57	54
51	58	53
52	58	52
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	67	46
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	39
65	75	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	84	28
75	85	27
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
